aiohttp,2.82,25.46,27.69,31.79,65.38,187.04,363.77,27.64,30.10,110974,0,0,0
aiohttp,110.11,188.77,206.28,225.47,290.75,430.55,439.15,189.14,30.10,15850,0,0,0
aiohttp,18.00,233.94,323.73,928.86,3741.32,4178.95,4560.49,463.86,30.09,10874,0,4,0
bottle,0.17,5.54,6.19,7.66,22.90,44.87,76.71,6.46,30.06,489101,0,0,0
bottle,175.10,618.34,2752.39,5095.25,8868.22,9184.05,9184.05,1717.67,30.10,555,0,3,20
bottle,58.14,240.38,254.21,276.00,533.07,847.38,940.78,253.35,30.09,11866,0,0,0
django,0.60,25.41,27.81,33.13,115.30,371.96,432.77,30.30,30.10,108336,0,0,0
django,141.50,890.45,2030.04,3817.70,7029.34,9910.72,9910.72,1601.78,30.08,554,0,1,27
django,132.65,1104.78,1227.93,1507.34,2121.95,2965.62,2997.17,1112.09,30.11,2640,0,0,0
falcon,0.18,4.31,4.69,5.58,12.86,21.80,34.17,4.73,30.06,647097,0,0,0
falcon,103.53,1302.69,2409.73,4617.86,9440.06,9968.15,9968.15,1823.22,30.10,546,0,4,13
falcon,35.93,309.42,339.37,451.94,747.23,1136.72,1344.24,284.99,30.10,10739,0,0,0
flask,2.89,15.46,17.30,20.54,42.10,59.85,88.85,17.14,30.10,177498,0,0,0
flask,105.71,1283.46,2166.61,4092.90,9395.01,9922.83,9922.83,1767.17,30.10,558,0,3,17
flask,51.29,316.03,340.97,357.48,869.26,1501.34,1620.74,286.06,30.11,10739,0,0,0
muffin,2.27,26.49,34.29,63.35,95.97,179.17,357.63,35.04,30.10,89078,0,0,0
muffin,111.35,196.55,225.99,286.73,502.46,672.19,755.45,212.88,30.09,14226,0,0,0
muffin,15.96,223.23,492.15,1042.76,3332.47,3444.75,4099.01,473.42,30.10,9291,0,0,0
pyramid,0.53,11.27,14.89,23.17,63.35,112.27,134.88,14.75,30.10,222429,0,0,0
pyramid,136.30,437.68,2646.67,5045.87,8766.30,8978.47,8978.47,1640.75,30.07,559,0,2,20
pyramid,52.19,272.08,304.90,366.28,937.44,1452.72,2062.82,307.16,30.10,10007,0,0,0
